Fund Holdings as of,13-Aug-21,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Coupon (%),Maturity,Exchange,Location,Market Currency,Duration
BARUK,BARCLAYS BANK UK PLC MTN RegS,Fixed Income,2.38,100.42,"16,450,000.00","16,522,745.87","16,522,745.87",Banking,XS1746306585,0.05,09-Jan-23,-,United Kingdom,GBP,0.03
KFW,KFW MTN RegS,Fixed Income,1.67,100.43,"11,500,000.00","11,590,856.47","11,590,856.47",Government Guaranteed,XS1548459178,0.88,15-Mar-22,-,Germany,GBP,0.59
ASIA,ASIAN DEVELOPMENT BANK MTN,Fixed Income,1.45,100.3,"10,000,000.00","10,031,660.48","10,031,660.48",Supranational,XS1891423078,0.05,12-Oct-23,-,Supranational,GBP,0.03
FMSWER,FMS WERTMANAGEMENT ANSTALT DES OEF RegS,Fixed Income,1.26,100.34,"8,700,000.00","8,767,211.58","8,767,211.58",Government Guaranteed,XS1564458195,0.88,14-Feb-22,-,Germany,GBP,0.51
EIB,EUROPEAN INVESTMENT BANK MTN RegS,Fixed Income,1.25,100.48,"8,600,000.00","8,645,610.81","8,645,610.81",Supranational,XS1848770407,0.4,29-Jun-23,-,Supranational,GBP,0.03
LLOYDS,LLOYDS BANK PLC RegS,Fixed Income,1.23,100.41,"8,500,000.00","8,539,328.72","8,539,328.72",Covered Other,XS1797949937,0.05,27-Mar-23,-,United Kingdom,GBP,0.13
DEXGRP,DEXIA CREDIT LOCAL SA MTN RegS,Fixed Income,1.22,100.74,"8,400,000.00","8,477,712.54","8,477,712.54",Government Guaranteed,XS1644575752,1.13,15-Jun-22,-,France,GBP,0.84
NWIDE,NATIONWIDE BUILDING SOCIETY MTN RegS,Fixed Income,1.21,100.33,"8,350,000.00","8,378,960.32","8,378,960.32",Covered Other,XS2035642102,0.48,02-Aug-22,-,United Kingdom,GBP,0.03
FMSWER,FMS WERTMANAGEMENT ANSTALT DES OEF MTN RegS,Fixed Income,1.2,100.07,"8,200,000.00","8,289,816.87","8,289,816.87",Government Guaranteed,XS1936220034,1.13,15-Sep-21,-,Germany,GBP,0.09
EDC,EXPORT DEVELOPMENT CANADA MTN RegS,Fixed Income,1.19,100.08,"8,250,000.00","8,257,935.76","8,257,935.76",Owned No Guarantee,XS1941795707,0.34,31-Jan-22,-,Canada,GBP,0.03
NRWBK,NRW BANK MTN RegS,Fixed Income,1.16,100.65,"8,000,000.00","8,065,318.71","8,065,318.71",Local Authority,XS1708493702,1,15-Jun-22,-,Germany,GBP,0.84
RY,ROYAL BANK OF CANADA MTN RegS,Fixed Income,1.15,100.07,"8,000,000.00","8,010,477.67","8,010,477.67",Covered Other,XS1733227554,0.31,08-Dec-22,-,Canada,GBP,0.07
IMBLN,IMPERIAL TOBACCO FINANCE PLC RegS,Fixed Income,1.15,104.18,"7,350,000.00","7,977,868.13","7,977,868.13",Consumer Non-Cyclical,XS0413493957,9,17-Feb-22,-,United Kingdom,GBP,0.51
KFW,KFW MTN RegS,Fixed Income,1.13,100.3,"7,750,000.00","7,832,355.05","7,832,355.05",Government Guaranteed,XS1932958603,1.13,07-Dec-21,-,Germany,GBP,0.32
SANUK,SANTANDER UK PLC MTN RegS,Fixed Income,1.12,101.35,"7,650,000.00","7,753,819.51","7,753,819.51",Covered Other,XS1949730557,0.78,12-Feb-24,-,United Kingdom,GBP,0.05
SANUK,SANTANDER UK PLC RegS,Fixed Income,1.09,100.16,"7,550,000.00","7,567,261.46","7,567,261.46",Covered Other,XS1719070390,0.05,16-Nov-22,-,United Kingdom,GBP,0.03
NIB,NORDIC INVESTMENT BANK MTN RegS,Fixed Income,1.04,100.09,"7,200,000.00","7,241,322.34","7,241,322.34",Supranational,XS1512676963,0.63,02-Nov-21,-,Supranational,GBP,0.22
EBRD,EUROPEAN BANK FOR RECONSTRUCTION A MTN,Fixed Income,1.04,100.45,"7,200,000.00","7,233,126.64","7,233,126.64",Supranational,XS1957351072,0.05,28-Feb-24,-,Supranational,GBP,0.04
NRW,NORDRHEIN-WESTFALEN LAND OF MTN RegS,Fixed Income,1.04,99.99,"7,200,000.00","7,199,786.71","7,199,786.71",Local Authority,XS1900543577,0.13,29-Oct-21,-,Germany,GBP,0.21
