Fund Holdings as of,13-Aug-21,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Coupon (%),Maturity,Exchange,Location,Market Currency,Duration
JPM,JPMORGAN CHASE & CO MTN RegS,Fixed Income,0.84,99.98,"10,900,000.00","10,929,134.86","10,929,134.86",Banking,XS2335966631,0.99,28-Apr-26,-,United States,GBP,3.65
BACR,BARCLAYS PLC MTN RegS,Fixed Income,0.81,104.9,"9,864,000.00","10,522,979.51","10,522,979.51",Banking,XS1550975079,3.13,17-Jan-24,-,United Kingdom,GBP,2.34
BNP,BNP PARIBAS SA MTN RegS,Fixed Income,0.76,109.12,"8,850,000.00","9,822,385.63","9,822,385.63",Banking,XS1939253917,3.38,23-Jan-26,-,France,GBP,4.14
INTNED,ING GROEP NV MTN RegS,Fixed Income,0.72,108.13,"8,500,000.00","9,313,917.10","9,313,917.10",Banking,XS1953146245,3,18-Feb-26,-,Netherlands,GBP,4.24
HSBC,HSBC HOLDINGS PLC RegS,Fixed Income,0.71,103.56,"8,750,000.00","9,209,341.26","9,209,341.26",Banking,XS1716248197,2.26,13-Nov-26,-,United Kingdom,GBP,4.08
NWG,NATWEST GROUP PLC MTN RegS,Fixed Income,0.7,106.69,"8,375,000.00","9,085,738.05","9,085,738.05",Banking,XS2172960481,3.62,14-Aug-30,-,United Kingdom,GBP,3.49
LLOYDS,LLOYDS BANKING GROUP PLC MTN RegS,Fixed Income,0.66,103.94,"8,100,000.00","8,569,642.01","8,569,642.01",Banking,XS1699636574,2.25,16-Oct-24,-,United Kingdom,GBP,3.05
WFC,WELLS FARGO & COMPANY MTN RegS,Fixed Income,0.65,103.52,"8,100,000.00","8,391,953.26","8,391,953.26",Banking,XS1457522727,2,28-Jul-25,-,United States,GBP,3.84
BNP,BNP PARIBAS SA MTN RegS,Fixed Income,0.64,101.08,"8,200,000.00","8,324,667.52","8,324,667.52",Banking,FR0014003N10,2,24-May-31,-,France,GBP,4.59
ENELIM,ENEL FINANCE INTERNATIONAL SA MTN RegS,Fixed Income,0.64,114.31,"6,875,000.00","8,244,406.43","8,244,406.43",Electric,XS0452188054,5.63,14-Aug-24,-,Italy,GBP,2.72
SIEGR,SIEMENS FINANCIERINGSMAATSCHAPPIJ RegS,Fixed Income,0.62,101.01,"7,900,000.00","8,017,489.77","8,017,489.77",Capital Goods,XS2118273866,1,20-Feb-25,-,Germany,GBP,3.46
DB,DEUTSCHE BANK AG MTN RegS,Fixed Income,0.61,104.29,"7,500,000.00","7,950,854.05","7,950,854.05",Banking,XS2102507600,2.63,16-Dec-24,-,Germany,GBP,3.19
LLOYDS,LLOYDS TSB BANK PLC MTN RegS,Fixed Income,0.61,123.48,"6,270,000.00","7,889,991.60","7,889,991.60",Banking,XS0503834821,7.63,22-Apr-25,-,United Kingdom,GBP,3.27
NWG,NATWEST GROUP PLC MTN RegS,Fixed Income,0.59,106.15,"7,000,000.00","7,611,492.82","7,611,492.82",Banking,XS1795261822,2.88,19-Sep-26,-,United Kingdom,GBP,3.84
SCTWID,SCOTTISH WIDOWS LTD RegS,Fixed Income,0.59,107.88,"6,995,000.00","7,607,210.98","7,607,210.98",Insurance,XS0914791412,5.5,16-Jun-23,-,United Kingdom,GBP,1.79
IMBLN,IMPERIAL TOBACCO FINANCE PLC RegS,Fixed Income,0.59,104.18,"6,974,000.00","7,569,748.62","7,569,748.62",Consumer Non-Cyclical,XS0413493957,9,17-Feb-22,-,United Kingdom,GBP,0.51
BGGRP,BG ENERGY CAPITAL PLC MTN RegS,Fixed Income,0.58,117.97,"6,155,000.00","7,481,564.96","7,481,564.96",Energy,XS0564485273,5.13,01-Dec-25,-,United Kingdom,GBP,3.88
BACR,BARCLAYS PLC MTN RegS,Fixed Income,0.57,101.87,"7,148,000.00","7,426,508.96","7,426,508.96",Banking,XS1695301900,2.38,06-Oct-23,-,United Kingdom,GBP,1.13
GS,GOLDMAN SACHS GROUP INC/THE MTN RegS,Fixed Income,0.56,113.23,"6,357,000.00","7,209,185.96","7,209,185.96",Banking,XS1023626671,4.25,29-Jan-26,-,United States,GBP,4.13
