Fund Holdings as of,13-Aug-21,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Coupon (%),Maturity,Exchange,Location,Market Currency,Duration
EDF,ELECTRICITE DE FRANCE SA MTN RegS,Fixed Income,1.03,191.26,"1,000,000.00","1,916,063.91","1,916,063.91",Owned No Guarantee,FR0011710284,6,23-Jan-14,-,France,GBP,30.34
EDF,ELECTRICITE DE FRANCE SA MTN RegS,Fixed Income,1.02,153.14,"1,200,000.00","1,891,968.82","1,891,968.82",Owned No Guarantee,FR0011132356,5.5,17-Oct-41,-,France,GBP,13.62
ENELIM,ENEL FINANCE INTERNATIONAL SA MTN RegS,Fixed Income,0.88,155.64,"1,020,000.00","1,641,034.55","1,641,034.55",Electric,XS0452187320,5.75,14-Sep-40,-,Italy,GBP,12.94
EDF,ELECTRICITE DE FRANCE RegS,Fixed Income,0.84,147.02,"1,050,000.00","1,556,428.33","1,556,428.33",Owned No Guarantee,FR0010763177,6.13,02-Jun-34,-,France,GBP,9.77
T,AT&T INC MTN,Fixed Income,0.83,168.52,"900,000.00","1,534,812.83","1,534,812.83",Communications,XS0426513387,7,30-Apr-40,-,United States,GBP,12.5
ENGIFP,GDF SUEZ MTN RegS,Fixed Income,0.81,175.38,"850,000.00","1,506,261.63","1,506,261.63",Natural Gas,FR0010946855,5,01-Oct-60,-,France,GBP,22.17
PFE,PFIZER INC RegS,Fixed Income,0.77,118.29,"1,200,000.00","1,424,791.87","1,424,791.87",Consumer Non-Cyclical,XS1738994596,2.73,15-Jun-43,-,United States,GBP,16.96
EDF,ELECTRICITE DE FRANCE SA MTN RegS,Fixed Income,0.71,161,"800,000.00","1,324,489.49","1,324,489.49",Owned No Guarantee,FR0010945436,5.13,22-Sep-50,-,France,GBP,17.81
T,AT&T INC,Fixed Income,0.7,142.16,"916,000.00","1,311,094.25","1,311,094.25",Communications,XS0785710046,4.88,01-Jun-44,-,United States,GBP,15.39
GSK,GLAXOSMITHKLINE CAPITAL PLC MTN RegS,Fixed Income,0.68,159.87,"780,000.00","1,260,972.22","1,260,972.22",Consumer Non-Cyclical,XS0294624373,5.25,10-Apr-42,-,United Kingdom,GBP,14.42
EOANGR,EON INTERNATIONAL FINANCE BV MTN RegS,Fixed Income,0.64,158.2,"750,000.00","1,191,260.11","1,191,260.11",Electric,XS0437306904,6.13,06-Jul-39,-,Germany,GBP,12.57
EOANGR,E.ON INTERNATIONAL FINANCE B.V. MTN RegS,Fixed Income,0.62,143.39,"795,000.00","1,149,240.60","1,149,240.60",Electric,XS0148579666,6.38,07-Jun-32,-,Germany,GBP,8.5
OXUNIV,THE CHANCELLOR MASTERS AND SCHOLAR RegS,Fixed Income,0.59,142.77,"755,000.00","1,090,960.40","1,090,960.40",Industrial Other,XS1713474838,2.54,08-Dec-17,-,United Kingdom,GBP,46.42
BHP,BHP BILLITON FINANCE LTD MTN RegS,Fixed Income,0.59,141.56,"750,000.00","1,090,158.78","1,090,158.78",Basic Industry,XS0834399981,4.3,25-Sep-42,-,Australia,GBP,14.89
EOANGR,E.ON INTERNATIONAL FINANCE B.V. MTN RegS,Fixed Income,0.58,150.81,"700,000.00","1,087,986.97","1,087,986.97",Electric,XS0327443627,5.88,30-Oct-37,-,Germany,GBP,11.48
GSK,GLAXOSMITHKLINE CAPITAL PLC MTN,Fixed Income,0.57,142.6,"736,000.00","1,055,351.24","1,055,351.24",Consumer Non-Cyclical,XS0140516864,5.25,19-Dec-33,-,United Kingdom,GBP,9.7
WMT,WALMART STORES INC RegS,Fixed Income,0.57,149.84,"694,000.00","1,054,634.95","1,054,634.95",Consumer Cyclical,XS0419834931,5.63,27-Mar-34,-,United States,GBP,9.7
BPLN,BP CAPITAL MARKETS PLC RegS,Fixed Income,0.57,107.23,"975,000.00","1,051,412.21","1,051,412.21",Energy,XS2193663619,4.25,31-Dec-49,-,United Kingdom,GBP,5.09
VATFAL,VATTENFALL AB MTN RegS,Fixed Income,0.56,178.13,"580,000.00","1,046,241.43","1,046,241.43",Owned No Guarantee,XS0422688019,6.88,15-Apr-39,-,Sweden,GBP,12.26
T,AT&T INC,Fixed Income,0.55,130.09,"775,000.00","1,014,808.48","1,014,808.48",Communications,XS0932036154,4.25,01-Jun-43,-,United States,GBP,15.17
